timestamp,dpid,eth_src,eth_dst,eth_type,ip_src,ip_dst,ip_proto,tcp_src_port,tcp_dst_port,udp_src_port,udp_dst_port,tcp_flags,arp_opcode,arp_spa,arp_tpa,arp_sha,duration_sec,duration_nsec,idle_timeout,hard_timeout,packet_count,byte_count,packet_count_per_second,byte_count_per_second,avg_packet_size,flow_count_per_dpid,label
2026-09-04T09:11:18.185168,1,00:00:00:00:00:05,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.5,10.0.0.1,00:00:00:00:00:05,0,974000000,3,10,1,42,1.03,43.12,42.0,234,warmup
2026-09-04T09:11:18.185210,1,00:00:00:00:00:06,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.6,10.0.0.1,00:00:00:00:00:06,0,963000000,3,10,1,42,1.04,43.61,42.0,234,warmup
2026-09-04T09:11:18.185226,1,00:00:00:00:00:07,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.7,10.0.0.1,00:00:00:00:00:07,0,950000000,3,10,1,42,1.05,44.21,42.0,234,warmup
2026-09-04T09:11:18.185242,1,00:00:00:00:00:08,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.8,10.0.0.1,00:00:00:00:00:08,0,940000000,3,10,1,42,1.06,44.68,42.0,234,warmup
2026-09-04T09:11:18.185256,1,00:00:00:00:00:09,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.9,10.0.0.1,00:00:00:00:00:09,0,928000000,3,10,1,42,1.08,45.26,42.0,234,warmup
2026-09-04T09:11:18.185270,1,00:00:00:00:00:0a,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.10,10.0.0.1,00:00:00:00:00:0a,0,916000000,3,10,1,42,1.09,45.85,42.0,234,warmup
2026-09-04T09:11:18.185286,1,00:00:00:00:00:0b,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.11,10.0.0.1,00:00:00:00:00:0b,0,903000000,3,10,1,42,1.11,46.51,42.0,234,warmup
2026-09-04T09:11:18.185301,1,00:00:00:00:00:0c,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.12,10.0.0.1,00:00:00:00:00:0c,0,892000000,3,10,1,42,1.12,47.09,42.0,234,warmup
2026-09-04T09:11:18.185314,1,00:00:00:00:00:0d,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.13,10.0.0.1,00:00:00:00:00:0d,0,882000000,3,10,1,42,1.13,47.62,42.0,234,warmup
2026-09-04T09:11:18.185329,1,00:00:00:00:00:0e,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.14,10.0.0.1,00:00:00:00:00:0e,0,872000000,3,10,1,42,1.15,48.17,42.0,234,warmup
2026-09-04T09:11:18.185344,1,00:00:00:00:00:0f,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.15,10.0.0.1,00:00:00:00:00:0f,0,862000000,3,10,1,42,1.16,48.72,42.0,234,warmup
2026-09-04T09:11:18.185358,1,00:00:00:00:00:10,00:00:00:00:00:01,2054,,,,,,,,,2,10.0.0.16,10.0.0.1,00:00:00:00:00:10,0,850000000,3,10,1,42,1.18,49.41,42.0,234,warmup
2026-09-04T09:11:18.185372,1,00:00:00:00:00:05,00:00:00:00:00:02,2054,,,,,,,,,2,10.0.0.5,10.0.0.2,00:00:00:00:00:05,0,824000000,3,10,1,42,1.21,50.97,42.0,234,warmup
2026-09-04T09:11:18.185387,1,00:00:00:00:00:06,00:00:00:00:00:02,2054,,,,,,,,,2,10.0.0.6,10.0.0.2,00:00:00:00:00:06,0,814000000,3,10,1,42,1.23,51.6,42.0,234,warmup
